live_id,path,slug,action,target,reason
113,Travel & Accommodation > Accommodation,accommodation,MERGE→hotels-guesthouses,hotels-guesthouses,
114,Travel & Accommodation > Dinning & Entertainments,dinning-and-entertainments,MERGE→restaurants-cafes,restaurants-cafes,live Dinning branch + Restaurants(4251)
115,Travel & Accommodation > Travel Organizers,travel-organizer,MERGE→tours-tickets,tours-tickets,
116,Travel & Accommodation > Tour Guides,tour-guides,MERGE→tours-tickets,tours-tickets,
117,Travel & Accommodation > Travel Related Services & Goods,travel-related-services-and-goods,MERGE→travel-services,travel-services,
118,Services > Financial Services,financial-services,MERGE→financial-legal,financial-legal,banking/insurance/tax/audit; mortgage ca
119,Services > Office Space & Secretarial Services,office-space-and-secretarial-services,MERGE→professional-services,professional-services,
120,Services > Personal Care Services,personal-care-services-services,MERGE→personal-care-services,personal-care-services,L2 canonical: salons/barbers/spa dupes c
121,Services > Maintenance & Repair Services,maintenance-and-repair-services,MERGE→repair-maintenance,repair-maintenance,electronic/appliance/machinery repair; p
122,Services > Printing & Photography Services,printing-and-photography-service,MERGE→printing-photography,printing-photography,+AV(318)+photo services(326)
123,Services > Cleaning Services,cleaning-services,MERGE→home-services,home-services,cleaning+laundry+garbage
124,Services > Logistics & Cargo Services,logistics-or-cargo-service,MERGE→logistics-cargo,logistics-cargo,
125,Services > Recreational Services,recreational-services,MERGE→attractions,attractions,
126,"Services > Educational, Tutoring & Childcare Services",educational-tutoring-and-childcare-services,MERGE→education-training,education-training,R4: Education root folded; childcare her
127,Services > Utility & Other Services,utility-and-others-services,DROP,,container emptied (only child 523 retired)
128,Jobs & Vacancies > Job Openings,job-openings,RETIRE,,Jobs: not a marketplace category (REQ-017 amend); Tenders incl.
129,Jobs & Vacancies > Job Seekers,job-seeker,RETIRE,,Jobs: not a marketplace category (REQ-017 amend); Tenders incl.
130,Jobs & Vacancies > Tenders,tenders,RETIRE,,Jobs: not a marketplace category (REQ-017 amend); Tenders incl.
131,Real Estate > Single Family Houses > For Sale,for-sale,MERGE→houses,houses,
132,Real Estate > Single Family Houses > For Rent or Lease,for-rent-or-lease,MERGE→houses,houses,
137,Real Estate > Townhomes > Townhomes for Sale,for-sale-townhome,MERGE→houses,houses,
138,Real Estate > Townhomes > Townhomes for Rent,for-rent,MERGE→houses,houses,
139,Real Estate > Office & Retail Space > Office Space,office-space,MERGE→commercial-property,commercial-property,type attr: office/retail/industrial/ware
140,Real Estate > Office & Retail Space > Retail Space & Stores,retail-space-or-store,MERGE→commercial-property,commercial-property,type attr: office/retail/industrial/ware
141,Real Estate > Industrial Properties & Warehouses > Industrial Property,industrial-property,MERGE→commercial-property,commercial-property,type attr: office/retail/industrial/ware
142,Real Estate > Industrial Properties & Warehouses > Storage & Warehouses,storage-or-warehouse,MERGE→commercial-property,commercial-property,type attr: office/retail/industrial/ware
143,Real Estate > Land > Residential,residential,MERGE→land-plots,land-plots,land_type attr (residential/commercial/f
144,Real Estate > Land > Commercial Land,commercial-land,MERGE→land-plots,land-plots,land_type attr (residential/commercial/f
145,Real Estate > Land > Farmland,farm-land,MERGE→land-plots,land-plots,land_type attr (residential/commercial/f
146,Real Estate > Land > Industrial Land,industrial-land,MERGE→land-plots,land-plots,land_type attr (residential/commercial/f
147,Real Estate > Land > Mixed Use Land,mixed-use-land,MERGE→land-plots,land-plots,land_type attr (residential/commercial/f
148,Real Estate > Realtor & Related Services > Realtor Services,realtor-services,MERGE→realtor-services,realtor-services,
149,Real Estate > Realtor & Related Services > Mortgage Loan Services,mortgage-loan-service,MERGE→realtor-services,realtor-services,
150,Real Estate > Realtor & Related Services > Real Estate Attorneys,real-estate-attorneys,MERGE→realtor-services,realtor-services,
151,Real Estate > Realtor & Related Services > Property Management Services,property-management-service,MERGE→realtor-services,realtor-services,
152,Auto & Parts > Personal Cars > For Sale,for-sale-personal-use-cars,MERGE→cars,cars,"attrs: offer_type(sale/hire), body(sedan"
153,Auto & Parts > Personal Cars > For Hire,for-rent-personal-use-cars,MERGE→cars,cars,"attrs: offer_type(sale/hire), body(sedan"
154,"Auto & Parts > Buses, Vans & Taxi > For Sale",for-sale-buses-vans-taxi,MERGE→buses-vans,buses-vans,
155,"Auto & Parts > Buses, Vans & Taxi > For Rent",for-rent-buses-vans-taxi,MERGE→buses-vans,buses-vans,
156,Auto & Parts > Large Transport Trucks > Flat Bed Trucks,flat-bed-trucks,MERGE→trucks-trailers,trucks-trailers,truck_type attr from 9 live leaves
157,Auto & Parts > Large Transport Trucks > Dump Trucks,dump-truck,MERGE→trucks-trailers,trucks-trailers,truck_type attr from 9 live leaves
158,Auto & Parts > Large Transport Trucks > Box Trucks,box-trucks,MERGE→trucks-trailers,trucks-trailers,truck_type attr from 9 live leaves
159,Auto & Parts > Large Transport Trucks > Open Load Trucks,open-load-trucks,MERGE→trucks-trailers,trucks-trailers,truck_type attr from 9 live leaves
160,Auto & Parts > Large Transport Trucks > Liquid Transport Trucks,liquid-transport-trucks,MERGE→trucks-trailers,trucks-trailers,truck_type attr from 9 live leaves
161,Auto & Parts > Large Transport Trucks > Tractor Heads,tractorhead,MERGE→trucks-trailers,trucks-trailers,truck_type attr from 9 live leaves
162,Auto & Parts > Large Transport Trucks > Trailers & SemiTrailers,trailers-semitrailers,MERGE→trucks-trailers,trucks-trailers,truck_type attr from 9 live leaves
163,Auto & Parts > Large Transport Trucks > Transport Containers,transport-containers,MERGE→trucks-trailers,trucks-trailers,truck_type attr from 9 live leaves
164,Auto & Parts > Large Transport Trucks > Other Large Trucks,other-large-trucks,MERGE→trucks-trailers,trucks-trailers,truck_type attr from 9 live leaves
165,"Auto & Parts > Motorbikes, Tuk Tuks & Bicycles > Motorbikes",motorbike,MERGE→motorbikes-bicycles,motorbikes-bicycles,type attr: motorbike/tuktuk/bicycle
167,"Auto & Parts > Motorbikes, Tuk Tuks & Bicycles > Bicycles",bicycle,MERGE→motorbikes-bicycles,motorbikes-bicycles,type attr: motorbike/tuktuk/bicycle
168,Auto & Parts > Auto Parts & Accessories > Car & Truck Parts & Accessories,car-truck-parts-accessories,MERGE→vehicle-parts,vehicle-parts,
169,Auto & Parts > Auto Parts & Accessories > Motor Bike Parts & Accessories,motor-bike-parts-accessories,MERGE→vehicle-parts,vehicle-parts,
170,Auto & Parts > Auto Parts & Accessories > Bicycle Parts & Accessories,bicycle-parts-accessories,MERGE→vehicle-parts,vehicle-parts,
171,Auto & Parts > Auto Parts & Accessories > Other Parts & Accessories,other-parts-accessories,MERGE→vehicle-parts,vehicle-parts,
172,Auto & Parts > Heavy Duty Trucks & Machinery > Construction Trucks & Machinery,construction-trucks-machinery,MERGE→heavy-machinery,heavy-machinery,L2: also under Construction & Agricultur
173,Auto & Parts > Heavy Duty Trucks & Machinery > Farming Trucks & Machinery,farming-trucks-machinery,MERGE→heavy-machinery,heavy-machinery,L2: also under Construction & Agricultur
174,Auto & Parts > Heavy Duty Trucks & Machinery > Industrial Machinery,industrial-machinary,MERGE→heavy-machinery,heavy-machinery,L2: also under Construction & Agricultur
175,Auto & Parts > Heavy Duty Trucks & Machinery > Other Trucks & Machinery,other-trucks-machinery,MERGE→heavy-machinery,heavy-machinery,L2: also under Construction & Agricultur
176,Auto & Parts > Auto Services > Auto Repair Services,repair-services,MERGE→auto-services,auto-services,absorbs Services>Automobile Repair (495)
177,Auto & Parts > Auto Services > Towing Services,towing-services,MERGE→auto-services,auto-services,absorbs Services>Automobile Repair (495)
178,Auto & Parts > Auto Services > Auto Insurance Services,auto-insurance-services,MERGE→auto-services,auto-services,absorbs Services>Automobile Repair (495)
179,Auto & Parts > Auto Services > Other Auto Services,other-auto-services,MERGE→auto-services,auto-services,absorbs Services>Automobile Repair (495)
180,Furniture & Appliances > Office Furniture > Office Desk and Tables,office-desk-and-tables,MERGE→furniture,furniture,"room attr; office furniture folded (48,1"
181,Furniture & Appliances > Office Furniture > Office Chairs & Benches,office-chairs-and-benches,MERGE→furniture,furniture,"room attr; office furniture folded (48,1"
182,Furniture & Appliances > Office Furniture > Office Cabinets & Shelves,office-cabinets-and-shelves,MERGE→furniture,furniture,"room attr; office furniture folded (48,1"
183,Furniture & Appliances > Office Furniture > Office Decors,office-decors,MERGE→furniture,furniture,"room attr; office furniture folded (48,1"
184,Furniture & Appliances > Office Furniture > Work Stations,work-stations,MERGE→furniture,furniture,"room attr; office furniture folded (48,1"
185,Furniture & Appliances > House Furniture > Living Room Furniture,living-room-furniture,MERGE→furniture,furniture,"room attr; office furniture folded (48,1"
186,Furniture & Appliances > House Furniture > Bedroom Furniture & Bedding,bedroom-furniture-bedding,MERGE→furniture,furniture,"room attr; office furniture folded (48,1"
187,Furniture & Appliances > House Furniture > Dinning Room Furniture,dinning-room-furniture,MERGE→furniture,furniture,"room attr; office furniture folded (48,1"
188,Furniture & Appliances > House Furniture > Kids Furniture,kids-furniture,MERGE→furniture,furniture,"room attr; office furniture folded (48,1"
189,Furniture & Appliances > House Furniture > Outdoor Furniture,outdoor-furniture,MERGE→furniture,furniture,"room attr; office furniture folded (48,1"
190,Furniture & Appliances > Appliances > Refrigerators & Freezers,refrigerators-and-freezers,MERGE→appliances,appliances,
191,Furniture & Appliances > Appliances > Cooktops & Ovens,cooktops-and-ovens,MERGE→appliances,appliances,
192,Furniture & Appliances > Appliances > Laundry Appliances,laundry-appliances,MERGE→appliances,appliances,
193,Furniture & Appliances > Appliances > Dishwashers,dishwashers,MERGE→appliances,appliances,
194,Furniture & Appliances > Appliances > Microwaves,microwaves,MERGE→appliances,appliances,
195,Furniture & Appliances > Appliances > Kitchen Countertop Appliances,kitchen-counter-top-appliances,MERGE→appliances,appliances,
196,Furniture & Appliances > Appliances > Other Kitchen Appliances,other-kitchen-appliances,MERGE→appliances,appliances,
197,Furniture & Appliances > Cookware & Utensils > Cooking Pot & Pans,cooking-pot-and-pans,MERGE→kitchen-dining,kitchen-dining,
198,Furniture & Appliances > Cookware & Utensils > Bakeware,bakeware,MERGE→kitchen-dining,kitchen-dining,
199,Furniture & Appliances > Cookware & Utensils > Kitchen Knifes,kitchen-knifes,MERGE→kitchen-dining,kitchen-dining,
200,Furniture & Appliances > Cookware & Utensils > Dining Utensils,dining-utensils,MERGE→kitchen-dining,kitchen-dining,
201,Furniture & Appliances > Cookware & Utensils > Other Kitchen Utensils,other-kitchen-utensils,MERGE→kitchen-dining,kitchen-dining,
202,Furniture & Appliances > Cookware & Utensils > Food Storage,food-storage,MERGE→kitchen-dining,kitchen-dining,
203,Furniture & Appliances > Cookware & Utensils > Kitchen Accessories,kitchen-accessories,MERGE→kitchen-dining,kitchen-dining,
204,Furniture & Appliances > Commercial Furniture > School Desks,school-desk,MERGE→restaurant-equipment,restaurant-equipment,+commercial furniture(52)
205,Furniture & Appliances > Commercial Furniture > Student Chairs,student-chair,MERGE→restaurant-equipment,restaurant-equipment,+commercial furniture(52)
206,Furniture & Appliances > Commercial Furniture > Blackboards & Whiteboards,blackboard-or-white-board,MERGE→restaurant-equipment,restaurant-equipment,+commercial furniture(52)
207,Furniture & Appliances > Commercial Furniture > Restaurant Tables & Chairs,restaurant-tables-and-chairs,MERGE→restaurant-equipment,restaurant-equipment,+commercial furniture(52)
208,Furniture & Appliances > Appliance Services > Appliance Installation Services,appliance-installation,MERGE→repair-maintenance,repair-maintenance,
209,Furniture & Appliances > Appliance Services > Appliance Maintenance & Repair Services,appliance-maintenance-and-repair-services,MERGE→repair-maintenance,repair-maintenance,
210,"Construction Material > Concrete & Masonry > Cement, Sand & Gravel",cement-sand-gravel,MERGE→cement-concrete,cement-concrete,
211,Construction Material > Concrete & Masonry > Aggregates & Concrete Mix,aggregates-concrete-mix,MERGE→cement-concrete,cement-concrete,
212,Construction Material > Concrete & Masonry > Clay or Concrete Blocks & Stones,clay-or-concrete-blocks-and-stone,MERGE→cement-concrete,cement-concrete,
213,Construction Material > Concrete & Masonry > Precast Concrete Products,precast-concrete-products,MERGE→cement-concrete,cement-concrete,
214,Construction Material > Concrete & Masonry > Services & Accessories,services-accessories,MERGE→cement-concrete,cement-concrete,
215,Construction Material > Construction Services > General Construction Contractors,general-construction-contractors,MERGE→construction-tools,construction-tools,
216,Construction Material > Construction Services > Civil Engineering Contractor,civil-engineering-contractor,MERGE→construction-tools,construction-tools,
217,Construction Material > Construction Services > Construction Machinery Maintenance Service,construction-machinery-maintenance-service,MERGE→repair-maintenance,repair-maintenance,machinery maintenance
218,Construction Material > Construction Tools & Machinery > Construction Machinery,construction-machinery,MERGE→construction-tools,construction-tools,"+Construction Services(62,215,216,217)→n"
219,Construction Material > Construction Tools & Machinery > Construction Hand Tools,construction-hand-tools,MERGE→construction-tools,construction-tools,"+Construction Services(62,215,216,217)→n"
220,Construction Material > Construction Tools & Machinery > Construction Power Tools,construction-power-tools,MERGE→construction-tools,construction-tools,"+Construction Services(62,215,216,217)→n"
221,Construction Material > Electrical & Lighting Materials > Electrical Wire & Cable,electrical-wire-and-cable,MERGE→electrical-lighting,electrical-lighting,generators here
222,"Construction Material > Electrical & Lighting Materials > Electrical Boxes, Conduits & Fittings",electrical-boxes-conduits-and-fittings,MERGE→electrical-lighting,electrical-lighting,generators here
223,Construction Material > Electrical & Lighting Materials > Generators,generators,MERGE→electrical-lighting,electrical-lighting,generators here
224,"Construction Material > Electrical & Lighting Materials > Switches, Dimmers & Outlets",switches-dimmers-outlets,MERGE→electrical-lighting,electrical-lighting,generators here
225,Construction Material > Electrical & Lighting Materials > Circuit Breakers & Power Meters,circuit-breakers-and-power-meters,MERGE→electrical-lighting,electrical-lighting,generators here
226,Construction Material > Electrical & Lighting Materials > Lighting Fixtures & Fans,lighting-fixtures-and-fans,MERGE→electrical-lighting,electrical-lighting,generators here
227,Construction Material > Electrical & Lighting Materials > Low Voltage Wires & Accessories,low-voltage-wires-and-accessories,MERGE→electrical-lighting,electrical-lighting,generators here
228,Construction Material > Electrical & Lighting Materials > Electrical Tools & Accessories,electrical-tools-and-accessories,MERGE→electrical-lighting,electrical-lighting,generators here
229,Construction Material > Electrical & Lighting Materials > Electrical Services,electrical-services,MERGE→electrical-lighting,electrical-lighting,generators here
230,"Construction Material > Floors, Tiles & Paints > Floor, Wall Tiles & Planks",floor-and-wall-tile-or-planks,MERGE→tiles-paint,tiles-paint,
231,"Construction Material > Floors, Tiles & Paints > Carpet & Rugs",carpet-and-rugs,MERGE→tiles-paint,tiles-paint,
232,"Construction Material > Floors, Tiles & Paints > Paint",paint,MERGE→tiles-paint,tiles-paint,
233,"Construction Material > Floors, Tiles & Paints > Wallpaper",wall-paper,MERGE→tiles-paint,tiles-paint,
234,"Construction Material > Floors, Tiles & Paints > Accessories",accessories,MERGE→tiles-paint,tiles-paint,
235,"Construction Material > Floors, Tiles & Paints > Flooring, Carpeting & Tiling Services",flooring-carpeting-and-tile-services,MERGE→tiles-paint,tiles-paint,
236,Construction Material > Metals > Hollow Structural Sections or Tube,hollow-structural-sections-or-tube,MERGE→steel-metals,steel-metals,
237,Construction Material > Metals > Structural Steel,structural-steel,MERGE→steel-metals,steel-metals,
238,Construction Material > Metals > LTZ Sections,ltz-sections,MERGE→steel-metals,steel-metals,
239,Construction Material > Metals > Metal Pipes & Tubes,metal-pipe-and-tube,MERGE→steel-metals,steel-metals,
240,"Construction Material > Metals > Metal Plates, Sheets & Coil",metal-plates-sheets-and-coil,MERGE→steel-metals,steel-metals,
241,Construction Material > Metals > Metal Structures & Accessories,metal-structures-accessories,MERGE→steel-metals,steel-metals,
242,Construction Material > Metals > Metal Working & Related Services,metal-working-related-services,MERGE→steel-metals,steel-metals,
243,Construction Material > Plumbing Materials > Pipes and Tubes,pipe-and-tube,MERGE→plumbing,plumbing,
244,Construction Material > Plumbing Materials > Plumbing Fittings,plumbing-fittings,MERGE→plumbing,plumbing,
245,Construction Material > Plumbing Materials > Bathroom & Kitchen Fixtures,bathroom-and-kitchen-fixtures,MERGE→plumbing,plumbing,
246,Construction Material > Plumbing Materials > Water Heaters & Boilers,water-heaters-boilers,MERGE→plumbing,plumbing,
247,Construction Material > Plumbing Materials > Plumbing Accessories,plumbing-accessories,MERGE→plumbing,plumbing,
248,Construction Material > Plumbing Materials > Plumbing Services,plumbing-services,MERGE→plumbing,plumbing,
249,"Construction Material > Roofing, Ceiling & Wall Materials > Roofing Materials",roofing-materials,MERGE→roofing-doors,roofing-doors,
250,"Construction Material > Roofing, Ceiling & Wall Materials > Ceiling Materials",ceiling-materials,MERGE→roofing-doors,roofing-doors,
251,"Construction Material > Roofing, Ceiling & Wall Materials > Wall Materials",wall-materials,MERGE→roofing-doors,roofing-doors,
252,"Construction Material > Wood Materials & Products > Wood Logs, Posts & Poles",wood-logs-posts-and-poles,MERGE→wood-timber,wood-timber,
253,Construction Material > Wood Materials & Products > Timber & Lumber,timber-and-lumber,MERGE→wood-timber,wood-timber,
254,Construction Material > Wood Materials & Products > Engineered Wood,engineered-wood,MERGE→wood-timber,wood-timber,
255,Construction Material > Wood Materials & Products > Laminated Veneer Lumber (LVL),lvl-laminated-veneer-lumber,MERGE→wood-timber,wood-timber,
256,Construction Material > Wood Materials & Products > Wood Products,wood-products,MERGE→wood-timber,wood-timber,
257,Construction Material > Wood Materials & Products > Carpentry Services,carpentry-services,MERGE→wood-timber,wood-timber,
258,Construction Material > Wood Materials & Products > Carpentry Tools,carpentry-tools,MERGE→wood-timber,wood-timber,
259,Cosmetics & Personal Care > Fragrance > For Women,for-women,MERGE→fragrances,fragrances,
260,Cosmetics & Personal Care > Fragrance > For Men,for-men,MERGE→fragrances,fragrances,
261,Cosmetics & Personal Care > Fragrance > Bath Oils & Foam Baths,bath-oils-and-foam-bath,MERGE→fragrances,fragrances,
262,Cosmetics & Personal Care > Fragrance > Shower Gels,shower-gels,MERGE→fragrances,fragrances,
263,Cosmetics & Personal Care > Haircare Products > Hair & Scalp Treatments,hair-scalp-treatments,MERGE→haircare,haircare,
